,ia,ianum,lang,sentnum,trialid,prob_skip,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
1573,a,120,en,343,2,0.35714285714285715,144.5,167.57142857142858,0.7142857142857143,0.8571428571428571,0.07142857142857142,0.14285714285714285,6
1574,concept,121,en,343,2,0.14285714285714285,272.07142857142856,490.64285714285717,1.2142857142857142,2.142857142857143,0.35714285714285715,0.42857142857142855,6
1575,of,122,en,343,2,0.6428571428571429,67.57142857142857,67.57142857142857,0.35714285714285715,0.35714285714285715,0.0,0.0,6
1576,"friendship,",123,en,343,2,0.0,246.5,375.64285714285717,1.2857142857142858,2.0,0.2857142857142857,0.35714285714285715,6
1577,"understanding,",124,en,343,2,0.0,288.2142857142857,440.35714285714283,1.4285714285714286,2.0714285714285716,0.42857142857142855,0.35714285714285715,6
1578,"compassion,",125,en,343,2,0.0,323.7857142857143,450.07142857142856,1.5,2.0714285714285716,0.5,0.42857142857142855,6
1579,and,126,en,343,2,0.6428571428571429,116.78571428571429,135.35714285714286,0.35714285714285715,0.42857142857142855,0.0,0.07142857142857142,6
1580,solidarity,127,en,343,2,0.0,294.2142857142857,445.07142857142856,1.2142857142857142,1.9285714285714286,0.21428571428571427,0.35714285714285715,6
1581,among,128,en,343,2,0.21428571428571427,194.5,258.57142857142856,0.8571428571428571,1.2142857142857142,0.14285714285714285,0.2857142857142857,6
1582,the,129,en,343,2,0.35714285714285715,174.0,195.28571428571428,0.7142857142857143,0.8571428571428571,0.07142857142857142,0.07142857142857142,6
1583,various,130,en,343,2,0.9285714285714286,10.214285714285714,10.214285714285714,0.07142857142857142,0.07142857142857142,0.0,0.0,6
1584,ethnic,131,en,343,2,0.07142857142857142,209.14285714285714,232.71428571428572,1.0,1.1428571428571428,0.07142857142857142,0.14285714285714285,6
1585,cultures,132,en,343,2,0.14285714285714285,142.5,305.35714285714283,1.0,1.9285714285714286,0.14285714285714285,0.7142857142857143,6
1586,that,133,en,343,2,0.35714285714285715,138.92857142857142,208.35714285714286,0.6428571428571429,1.1428571428571428,0.0,0.2857142857142857,6
1587,reside,134,en,343,2,0.21428571428571427,218.42857142857142,245.28571428571428,0.8571428571428571,1.0,0.07142857142857142,0.07142857142857142,6
1588,in,135,en,343,2,0.5714285714285714,77.71428571428571,77.71428571428571,0.42857142857142855,0.42857142857142855,0.0,0.0,6
1589,Hawaii.,136,en,343,2,0.35714285714285715,144.14285714285714,170.57142857142858,0.7142857142857143,0.8571428571428571,0.07142857142857142,0.14285714285714285,6
1590,While,137,en,343,2,0.2,221.72,248.84,0.92,1.08,0.08,0.16,6
1591,the,138,en,343,2,0.24,159.12,189.72,0.76,0.92,0.0,0.12,6
1592,exact,139,en,343,2,0.12,256.6,334.16,1.12,1.52,0.2,0.28,6
1593,origin,140,en,343,2,0.08,230.4,390.24,1.28,1.96,0.36,0.44,6
1594,of,141,en,343,2,0.8,32.64,40.6,0.2,0.24,0.0,0.04,6
1595,the,142,en,343,2,0.36,126.52,155.48,0.64,0.8,0.0,0.12,6
1596,sign,143,en,343,2,0.28,170.72,210.16,0.84,1.04,0.12,0.16,6
1597,is,144,en,343,2,0.52,115.36,139.12,0.48,0.56,0.0,0.04,6
1598,"unclear,",145,en,343,2,0.04,208.6,291.12,1.12,1.52,0.16,0.32,6
1599,some,146,en,343,2,0.24,227.52,263.24,0.96,1.16,0.2,0.16,6
1600,have,147,en,343,2,0.32,108.76,125.36,0.72,0.84,0.04,0.12,6
1601,suggested,148,en,343,2,0.0,269.92,341.0,1.32,1.6,0.32,0.2,6
1602,its,149,en,343,2,0.2,168.72,210.04,0.88,1.12,0.04,0.2,6
1603,origin,150,en,343,2,0.16,163.52,241.76,0.84,1.28,0.0,0.24,6
1604,was,151,en,343,2,0.44,130.28,137.2,0.68,0.72,0.08,0.04,6
1605,derived,152,en,343,2,0.08,219.44,260.64,1.12,1.32,0.2,0.16,6
1606,from,153,en,343,2,0.56,85.2,92.56,0.48,0.52,0.04,0.04,6
1607,Spanish,154,en,343,2,0.08,182.8,328.2,1.04,1.64,0.16,0.4,6
